id_venda;id_cliente;id_produto;data_venda;quantidade;;;forma_pagamento
VEN000001;CLI000220;PROD020;24/1/24;1;399.90; 399.90;Cartão de Crédito
VEN000002;CLI000277;PROD023;25/1/24;2;179.90; 359.80;PIX
VEN000003;CLI000220;PROD002;26/1/24;1;4299.00; 4299.00;PIX
VEN000004;CLI000074;PROD006;27/1/24;1;1799.90; 1799.90;Cartão de Débito
VEN000005;CLI000267;PROD013;28/1/24;2;1099.90; 2199.80;Cartão de Crédito
VEN000006;CLI000289;PROD003;29/1/24;1; 7999.00; 7999.00;PIX
VEN000007;CLI000071;PROD023;30/1/24;3; 179.90; 539.70;Dinheiro Em Espécie
VEN000008;CLI000072;PROD015;31/1/24;1; 1349.90; 1349.90;Cartão de Crédito
VEN000009;CLI000281;PROD001;1/2/24;3; 3499.90; 10499.70;Cartão de Crédito
VEN000010;CLI000080;PROD020;2/2/24;2; 399.90; 799.80;PIX
VEN000011;CLI000224;PROD014;3/2/24;3; 2499.00; 7497.00;Cartão de Crédito
VEN000012;CLI000245;PROD026;4/2/24;1; 1499.00; 1499.00;Cartão de Débito
VEN000013;CLI000201;PROD025;5/2/24;1; 239.90; 239.90;Cartão de Crédito
VEN000014;CLI000061;PROD027;6/2/24;3; 699.90; 2099.70;Cartão de Crédito
VEN000015;CLI000134;PROD023;7/2/24;3; 179.90; 539.70;Cartão de Crédito
VEN000016;CLI000140;PROD014;8/2/24;2; 2499.00; 4998.00;Cartão de Crédito
VEN000017;CLI000169;PROD016;9/2/24;1; 89.90; 89.90;PIX
VEN000018;CLI000053;PROD011;10/2/24;1; 799.90; 799.90;Cartão de Crédito
VEN000019;CLI000201;PROD026;11/2/24;1; 1499.00; 1499.00;PIX
VEN000020;CLI000290;PROD020;12/2/24;2; 399.90; 799.80;PIX
VEN000021;CLI000201;PROD026;13/2/24;3; 1499.00; 4497.00;Dinheiro Em Espécie
VEN000022;CLI000264;PROD013;14/2/24;1; 1099.90; 1099.90;PIX
VEN000023;CLI000272;PROD010;15/2/24;1; 6499.00; 6499.00;Cartão de Débito
VEN000024;CLI000227;PROD021;16/2/24;2; 59.90; 119.80;Cartão de Crédito
VEN000025;CLI000018;PROD012;17/2/24;2; 1199.00; 2398.00;Cartão de Débito
VEN000026;CLI000101;PROD009;18/2/24;1; 2299.90; 2299.90;Cartão de Crédito
VEN000027;CLI000178;PROD020;19/2/24;3; 399.90; 1199.70;PIX
VEN000028;CLI000089;PROD028;20/2/24;1; 189.90; 189.90;PIX
VEN000029;CLI000297;PROD017;21/2/24;1; 249.90; 249.90;Cartão de Crédito
VEN000030;CLI000290;PROD011;22/2/24;3; 799.90; 2399.70;PIX
VEN000031;CLI000239;PROD003;23/2/24;1; 7999.00; 7999.00;Cartão de Crédito
VEN000032;CLI000194;PROD014;24/2/24;1; 2499.00; 2499.00;Cartão de Débito
VEN000033;CLI000225;PROD013;25/2/24;2; 1099.90; 2199.80;Dinheiro Em Espécie
VEN000034;CLI000087;PROD002;26/2/24;2; 4299.00; 8598.00;Cartão de Crédito
VEN000035;CLI000300;PROD026;27/2/24;2; 1499.00; 2998.00;Cartão de Crédito
VEN000036;CLI000146;PROD016;28/2/24;2; 89.90; 179.80;PIX
VEN000037;CLI000018;PROD030;29/2/24;2; 1199.00; 2398.00;PIX
VEN000038;CLI000256;PROD018;1/3/24;1; 139.90; 139.90;PIX
VEN000039;CLI000176;PROD005;2/3/24;2; 4899.00; 9798.00;PIX
VEN000040;CLI000138;PROD029;3/3/24;2; 349.00; 698.00;PIX
VEN000041;CLI000192;PROD024;4/3/24;1; 279.90; 279.90;Cartão de Crédito
VEN000042;CLI000176;PROD023;5/3/24;1; 179.90; 179.90;PIX
